state,date,cases,deaths,total_distributed,distributed_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,daily_vaccinations_per_million
Alabama,2021-01-12,3848,226,377025.0,7.69,0.15,1.59,1205.0
Alabama,2021-01-13,3147,187,378975.0,7.73,0.19,1.71,1205.0
Alabama,2021-01-14,3588,185,435350.0,8.88,0.23500000000000001,1.88,1445.0
Alabama,2021-01-15,2945,85,444650.0,9.07,0.28,2.05,1525.0
Alabama,2021-01-16,3153,89,444650.0,9.07,0.29250000000000004,2.205,1529.0
Alabama,2021-01-17,1917,1,444650.0,9.07,0.30500000000000005,2.36,1531.0
Alabama,2021-01-18,1430,1,444650.0,9.07,0.3175,2.5149999999999997,1533.0
Alabama,2021-01-19,2515,5,444650.0,9.07,0.33,2.67,1534.0
Alabama,2021-01-20,3112,157,483275.0,9.86,0.37,2.84,1607.0
Alabama,2021-01-21,2881,96,493125.0,10.06,0.44,3.38,2145.0
Alabama,2021-01-22,3551,107,519525.0,10.6,0.51,4.06,2877.0
Alabama,2021-01-23,3355,171,521225.0,10.63,0.56,4.52,3304.0
Alabama,2021-01-24,1728,3,521225.0,10.63,0.61,4.97,3731.0
Alabama,2021-01-25,1839,2,521225.0,10.63,0.61,5.11,3711.0
Alabama,2021-01-26,2900,234,569000.0,11.6,0.63,5.2,3618.0
Alabama,2021-01-27,3177,276,634000.0,12.93,0.69,5.43,3707.0
Alabama,2021-01-28,3648,168,655275.0,13.36,0.76,5.69,3294.0
Alabama,2021-01-29,2848,226,659400.0,13.45,0.9,6.14,2960.0
Alabama,2021-01-30,0,0,659400.0,13.45,1.1,6.98,3522.0
Alabama,2021-01-31,4057,122,659400.0,13.45,1.13,7.22,3212.0
Alabama,2021-02-01,1221,0,659400.0,13.45,1.15,7.31,3137.0
Alabama,2021-02-02,2078,206,680550.0,13.88,1.2,7.58,3407.0
Alabama,2021-02-03,2118,309,765150.0,15.61,1.28,7.92,3552.0
Alabama,2021-02-04,2767,162,799675.0,16.31,1.41,8.33,3771.0
Alabama,2021-02-05,1496,84,799875.0,16.31,1.56,8.78,3778.0
Alabama,2021-02-06,1992,64,804100.0,16.4,1.72,9.28,3285.0
Alabama,2021-02-07,1112,2,804100.0,16.4,1.76,9.43,3157.0
Alabama,2021-02-08,925,8,804100.0,16.4,1.8,9.54,3186.0
Alabama,2021-02-09,1318,56,823600.0,16.8,1.94,10.01,3470.0
Alabama,2021-02-10,1401,309,861175.0,17.56,2.09,10.52,3714.0
Alabama,2021-02-11,1503,133,911875.0,18.6,2.26,11.08,3928.0
Alabama,2021-02-12,1097,159,936200.0,19.09,2.49,11.65,4094.0
Alabama,2021-02-13,1189,62,963600.0,19.65,2.71,12.26,4253.0
Alabama,2021-02-14,1075,0,965550.0,19.69,2.79,12.49,4368.0
Alabama,2021-02-15,674,2,990662.5,20.205,2.915,12.74,4569.0
Alabama,2021-02-16,883,13,1015775.0,20.72,3.04,12.99,4245.0
Alabama,2021-02-17,679,89,1032175.0,21.05,3.15,13.26,3911.0
Alabama,2021-02-18,1198,78,1032175.0,21.05,3.37,13.71,3753.0
Alabama,2021-02-19,847,149,1077600.0,21.98,3.92,15.07,4895.0
Alabama,2021-02-20,774,17,1078800.0,22.0,4.37,15.85,5121.0
Alabama,2021-02-21,857,2,1082100.0,22.07,4.48,16.08,5138.0
Alabama,2021-02-22,677,0,1082100.0,22.07,4.65,16.19,4928.0
Alabama,2021-02-23,1453,68,1084440.0,22.12,4.88,16.62,5198.0
Alabama,2021-02-24,1247,84,1138650.0,23.22,5.17,17.13,5527.0
Alabama,2021-02-25,890,87,1170120.0,23.86,5.48,17.64,5615.0
Alabama,2021-02-26,739,38,1380380.0,28.15,5.83,18.23,4508.0
Alabama,2021-02-27,834,61,1402180.0,28.6,6.28,18.99,4491.0
Alabama,2021-02-28,569,-1,1402280.0,28.6,6.39,19.22,4484.0
Alabama,2021-03-01,517,2,1402280.0,28.6,6.45,19.34,4510.0
Alabama,2021-03-02,652,60,1461320.0,29.8,6.73,19.83,4576.0
Alabama,2021-03-03,2733,38,1469100.0,29.96,7.07,20.4,4671.0
Alabama,2021-03-04,922,65,1530470.0,31.21,7.45,21.05,4878.0
Alabama,2021-03-05,811,28,1556460.0,31.74,7.81,21.71,4974.0
Alabama,2021-03-06,524,27,1628350.0,33.21,8.2,22.43,4913.0
Alabama,2021-03-07,408,-1,1628350.0,33.21,8.3,22.64,4884.0
Alabama,2021-03-08,273,0,1628350.0,33.21,8.36,22.77,4903.0
Alabama,2021-03-09,524,38,1689050.0,34.45,8.57,23.27,4919.0
Alabama,2021-03-10,782,36,1775660.0,36.21,8.87,23.94,5063.0
Alabama,2021-03-11,865,52,1816230.0,37.04,9.23,24.67,5175.0
Alabama,2021-03-12,448,25,1838400.0,37.49,9.63,25.48,5379.0
Alabama,2021-03-13,594,28,1918560.0,39.13,10.05,26.27,5493.0
Alabama,2021-03-14,368,0,1918560.0,39.13,10.15,26.49,5492.0
Alabama,2021-03-15,4556,2,1918560.0,39.13,10.22,26.64,5528.0
Alabama,2021-03-16,488,8,2004160.0,40.87,10.44,27.17,5574.0
Alabama,2021-03-17,759,26,2080870.0,42.44,10.68,27.82,5541.0
Alabama,2021-03-18,572,28,2118650.0,43.21,10.88,28.35,5252.0
Alabama,2021-03-19,531,34,2141210.0,43.67,11.16,29.1,5171.0
Alabama,2021-03-20,508,11,2177880.0,44.42,11.45,29.79,5027.0
Alabama,2021-03-21,373,0,2177880.0,44.42,11.56,30.03,5071.0
Alabama,2021-03-22,319,0,2177880.0,44.42,11.61,30.17,5036.0
Alabama,2021-03-23,10,14,2275030.0,46.4,11.82,30.78,5161.0
