"","Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","AGE","","","","","","","","","","","","","","","","","","","SELECTED AGE CATEGORIES","","","","","","","","","","","","","SUMMARY INDICATORS","","","","","","PERCENT ALLOCATED","",""
"Label (Grouping)","Total population","Total population!!AGE","Total population!!AGE!!Under 5 years","Total population!!AGE!!5 to 9 years","Total population!!AGE!!10 to 14 years","Total population!!AGE!!15 to 19 years","Total population!!AGE!!20 to 24 years","Total population!!AGE!!25 to 29 years","Total population!!AGE!!30 to 34 years","Total population!!AGE!!35 to 39 years","Total population!!AGE!!40 to 44 years","Total population!!AGE!!45 to 49 years","Total population!!AGE!!50 to 54 years","Total population!!AGE!!55 to 59 years","Total population!!AGE!!60 to 64 years","Total population!!AGE!!65 to 69 years","Total population!!AGE!!70 to 74 years","Total population!!AGE!!75 to 79 years","Total population!!AGE!!80 to 84 years","Total population!!AGE!!85 years and over","Total population!!SELECTED AGE CATEGORIES","Total population!!SELECTED AGE CATEGORIES!!5 to 14 years","Total population!!SELECTED AGE CATEGORIES!!15 to 17 years","Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Total population!!SELECTED AGE CATEGORIES!!18 to 24 years","Total population!!SELECTED AGE CATEGORIES!!15 to 44 years","Total population!!SELECTED AGE CATEGORIES!!16 years and over","Total population!!SELECTED AGE CATEGORIES!!18 years and over","Total population!!SELECTED AGE CATEGORIES!!21 years and over","Total population!!SELECTED AGE CATEGORIES!!60 years and over","Total population!!SELECTED AGE CATEGORIES!!62 years and over","Total population!!SELECTED AGE CATEGORIES!!65 years and over","Total population!!SELECTED AGE CATEGORIES!!75 years and over","Total population!!SUMMARY INDICATORS","Total population!!SUMMARY INDICATORS!!Median age (years)","Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)","Total population!!SUMMARY INDICATORS!!Age dependency ratio","Total population!!SUMMARY INDICATORS!!Old-age dependency ratio","Total population!!SUMMARY INDICATORS!!Child dependency ratio","Total population!!PERCENT ALLOCATED","Total population!!PERCENT ALLOCATED!!Sex","Total population!!PERCENT ALLOCATED!!Age"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,893,186","","293,932","294,776","315,204","321,308","323,960","334,650","307,217","301,404","293,852","308,836","316,996","331,903","321,714","273,648","217,393","145,827","101,941","88,625","","609,980","189,000","1,092,912","456,268","1,882,391","3,926,842","3,800,274","3,595,726","1,149,148","1,016,937","827,434","336,393","","39.2","93.6","64.6","27.8","36.8","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.0%","6.0%","6.4%","6.6%","6.6%","6.8%","6.3%","6.2%","6.0%","6.3%","6.5%","6.8%","6.6%","5.6%","4.4%","3.0%","2.1%","1.8%","","12.5%","3.9%","22.3%","9.3%","38.5%","80.3%","77.7%","73.5%","23.5%","20.8%","16.9%","6.9%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,365,734","","149,579","150,937","160,287","162,291","163,665","167,179","149,890","144,863","142,671","149,680","153,533","158,953","151,998","127,425","98,717","63,852","41,156","29,058","","311,224","96,832","557,635","229,124","930,559","1,873,092","1,808,099","1,705,935","512,206","450,474","360,208","134,066","","37.7","(X)","(X)","(X)","(X)","","(X)","(X)"
