"","EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","COMMUTING TO WORK","","","","","","","","","OCCUPATION","","","","","","","INDUSTRY","","","","","","","","","","","","","","","CLASS OF WORKER","","","","","","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","","","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","","","","","","","","",""
"","","Population 16 years and over","","","","","","","Civilian labor force","","Females 16 years and over","","","","Own children of the householder under 6 years","","Own children of the householder 6 to 17 years","","","Workers 16 years and over","","","","","","","","","Civilian employed population 16 years and over","","","","","","","Civilian employed population 16 years and over","","","","","","","","","","","","","","","Civilian employed population 16 years and over","","","","","","Total households","","","","","","","","","","","","","","","","","","","","","","","","Families","","","","","","","","","","","","","Per capita income (dollars)","Nonfamily households","","","Median earnings for workers (dollars)","Median earnings for male full-time, year-round workers (dollars)","Median earnings for female full-time, year-round workers (dollars)","","Civilian noninstitutionalized population","","","","","Civilian noninstitutionalized population under 19 years","","Civilian noninstitutionalized population 19 to 64 years","","","","","","","","","","","","","","","","","","All families","","","","","","","","","All people","","","","","","","","",""
"","","","In labor force","","","","","Not in labor force","","Unemployment Rate","","In labor force","","","","All parents in family in labor force","","All parents in family in labor force","","","Car, truck, or van -- drove alone","Car, truck, or van -- carpooled","Public transportation (excluding taxicab)","Walked","Other means","Worked from home","Mean travel time to work (minutes)","","","Management, business, science, and arts occupations","Service occupations","Sales and office occupations","Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations","","","Agriculture, forestry, fishing and hunting, and mining","Construction","Manufacturing","Wholesale trade","Retail trade","Transportation and warehousing, and utilities","Information","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration","Public administration","","","Private wage and salary workers","Government workers","Self-employed in own not incorporated business workers","Unpaid family workers","","","Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more","Median household income (dollars)","Mean household income (dollars)","With earnings","","With Social Security","","With retirement income","","With Supplemental Security Income","","With cash public assistance income","","With Food Stamp/SNAP benefits in the past 12 months","","Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more","Median family income (dollars)","Mean family income (dollars)","","","Median nonfamily income (dollars)","Mean nonfamily income (dollars)","","","","","","With health insurance coverage","","","No health insurance coverage","","No health insurance coverage","","In labor force:","","","","","","","","","","","Not in labor force:","","","","","","","With related children of the householder under 18 years","","Married couple families","","","Families with female householder, no spouse present","","","","Under 18 years","","","","18 years and over","","","People in families","Unrelated individuals 15 years and over"
"","","","","Civilian labor force","","","Armed Forces","","","","","","Civilian labor force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mean earnings (dollars)","","Mean Social Security income (dollars)","","Mean retirement income (dollars)","","Mean Supplemental Security Income (dollars)","","Mean cash public assistance income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","With private health insurance","With public coverage","","","","","","Employed:","","","","","Unemployed:","","","","","","With health insurance coverage","","","No health insurance coverage","","","","With related children of the householder under 5 years only","","With related children of the householder under 18 years","","","With related children of the householder under 18 years","","","","Related children of the householder under 18 years","","","","18 to 64 years","65 years and over","",""
"","","","","","Employed","Unemployed","","","","","","","","Employed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","With health insurance coverage","","","No health insurance coverage","","With health insurance coverage","","","No health insurance coverage","","","With private health insurance","With public coverage","","","","","","","","With related children of the householder under 5 years only","","","With related children of the householder under 5 years only","","","","Related children of the householder under 5 years","Related children of the householder 5 to 17 years","","","","",""
"Label (Grouping)","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Population 16 years and over","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces","EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force","EMPLOYMENT STATUS!!Civilian labor force","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","EMPLOYMENT STATUS!!Females 16 years and over","EMPLOYMENT STATUS!!Females 16 years and over!!In labor force","EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force","EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Own children of the householder under 6 years","EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force","EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years","EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force","COMMUTING TO WORK","COMMUTING TO WORK!!Workers 16 years and over","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)","COMMUTING TO WORK!!Workers 16 years and over!!Walked","COMMUTING TO WORK!!Workers 16 years and over!!Other means","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","OCCUPATION","OCCUPATION!!Civilian employed population 16 years and over","OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","OCCUPATION!!Civilian employed population 16 years and over!!Service occupations","OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations","OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","INDUSTRY","INDUSTRY!!Civilian employed population 16 years and over","INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining","INDUSTRY!!Civilian employed population 16 years and over!!Construction","INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing","INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade","INDUSTRY!!Civilian employed population 16 years and over!!Retail trade","INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities","INDUSTRY!!Civilian employed population 16 years and over!!Information","INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing","INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services","INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance","INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration","INDUSTRY!!Civilian employed population 16 years and over!!Public administration","CLASS OF WORKER","CLASS OF WORKER!!Civilian employed population 16 years and over","CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers","CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers","CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers","CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Social Security","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Social Security!!Mean Social Security income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With retirement income","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With retirement income!!Mean retirement income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Supplemental Security Income","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income!!Mean cash public assistance income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Food Stamp/SNAP benefits in the past 12 months","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!Less than $10,000","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$10,000 to $14,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$15,000 to $24,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$25,000 to $34,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$35,000 to $49,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$50,000 to $74,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$75,000 to $99,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$100,000 to $149,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$150,000 to $199,999","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!$200,000 or more","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!Median family income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Families!!Mean family income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median nonfamily income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Mean nonfamily income (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median earnings for male full-time, year-round workers (dollars)","INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median earnings for female full-time, year-round workers (dollars)","HEALTH INSURANCE COVERAGE","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population under 19 years","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population under 19 years!!No health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Employed:","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Employed:!!With health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Employed:!!With health insurance coverage!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Employed:!!With health insurance coverage!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Employed:!!No health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Unemployed:","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Unemployed:!!With health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Unemployed:!!With health insurance coverage!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Unemployed:!!With health insurance coverage!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!In labor force:!!Unemployed:!!No health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force:","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force:!!With health insurance coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force:!!With health insurance coverage!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force:!!With health insurance coverage!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force:!!No health insurance coverage","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!With related children of the householder under 18 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!With related children of the householder under 18 years!!With related children of the householder under 5 years only","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Married couple families","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Married couple families!!With related children of the householder under 18 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Married couple families!!With related children of the householder under 18 years!!With related children of the householder under 5 years only","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Families with female householder, no spouse present","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Families with female householder, no spouse present!!With related children of the householder under 18 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Families with female householder, no spouse present!!With related children of the householder under 18 years!!With related children of the householder under 5 years only","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder under 5 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder 5 to 17 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!18 to 64 years","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!65 years and over","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!People in families","PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Unrelated individuals 15 years and over"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,926,842","2,259,980","2,245,329","2,119,986","125,343","14,651","1,666,862","2,245,329","(X)","2,053,750","1,080,693","1,078,913","1,017,137","330,070","216,777","682,964","475,078","","2,095,195","1,778,257","174,781","6,960","23,265","19,096","92,836","25.2","","2,119,986","756,013","341,826","456,424","201,224","364,499","","2,119,986","29,921","141,974","302,005","52,964","245,101","117,530","31,100","118,006","204,241","480,244","176,319","103,797","116,784","","2,119,986","1,669,242","332,904","114,492","3,348","","1,888,504","153,635","105,415","206,400","197,384","249,022","330,327","222,963","247,918","91,821","83,619","52,035","71,964","1,361,896","74,821","677,303","19,700","441,081","24,896","125,230","9,833","29,976","2,622","252,316","1,234,552","56,834","35,078","95,159","110,731","156,109","234,497","175,973","212,380","82,714","75,077","66,772","86,610","28,934","653,952","28,529","42,194","32,080","50,823","37,425","","4,813,429","4,357,884","3,250,867","1,780,971","455,545","1,160,135","36,714","2,845,625","2,063,093","1,951,695","1,719,365","1,654,186","123,210","232,330","111,398","64,583","44,179","24,527","46,815","782,532","646,262","401,839","327,160","136,270","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","3,926,842","57.6%","57.2%","54.0%","3.2%","0.4%","42.4%","2,245,329","5.6%","2,053,750","52.6%","52.5%","49.5%","330,070","65.7%","682,964","69.6%","","2,095,195","84.9%","8.3%","0.3%","1.1%","0.9%","4.4%","(X)","","2,119,986","35.7%","16.1%","21.5%","9.5%","17.2%","","2,119,986","1.4%","6.7%","14.2%","2.5%","11.6%","5.5%","1.5%","5.6%","9.6%","22.7%","8.3%","4.9%","5.5%","","2,119,986","78.7%","15.7%","5.4%","0.2%","","1,888,504","8.1%","5.6%","10.9%","10.5%","13.2%","17.5%","11.8%","13.1%","4.9%","4.4%","(X)","(X)","72.1%","(X)","35.9%","(X)","23.4%","(X)","6.6%","(X)","1.6%","(X)","13.4%","1,234,552","4.6%","2.8%","7.7%","9.0%","12.6%","19.0%","14.3%","17.2%","6.7%","6.1%","(X)","(X)","(X)","653,952","(X)","(X)","(X)","(X)","(X)","","4,813,429","90.5%","67.5%","37.0%","9.5%","1,160,135","3.2%","2,845,625","2,063,093","1,951,695","88.1%","84.8%","6.3%","11.9%","111,398","58.0%","39.7%","22.0%","42.0%","782,532","82.6%","51.4%","41.8%","17.4%","","11.6%","18.9%","19.2%","5.2%","7.1%","6.5%","32.1%","43.5%","47.9%","16.0%","22.7%","22.5%","25.4%","21.4%","14.0%","15.1%","10.2%","12.9%","29.7%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
