"","Population for whom poverty status is determined","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","","","","","","","","",""
"","","AGE","","","","","","","","","","SEX","","","RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","EDUCATIONAL ATTAINMENT","","","","","","EMPLOYMENT STATUS","","","","","","","","WORK EXPERIENCE","","","","","ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","Male","Female","15 years","16 to 17 years","18 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 to 74 years","75 years and over","Mean income deficit for unrelated individuals (dollars)","Worked full-time, year-round in the past 12 months","Worked less than full-time, year-round in the past 12 months","Did not work"
"","","","Under 18 years","","","","18 to 64 years","","","60 years and over","65 years and over","","Male","Female","","White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone","Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","","Population 25 years and over","","","","","","Civilian labor force 16 years and over","","","","","","","","Population 16 years and over","","","","","50 percent of poverty level","125 percent of poverty level","150 percent of poverty level","185 percent of poverty level","200 percent of poverty level","300 percent of poverty level","400 percent of poverty level","500 percent of poverty level","","","","","","","","","","","","","","","",""
"","","","","Under 5 years","5 to 17 years","Related children of householder under 18 years","","18 to 34 years","35 to 64 years","","","","","","","","","","","","","","","","","","Less than high school graduate","High school graduate (includes equivalency)","Some college, associate's degree","Bachelor's degree or higher","","","Employed","","","Unemployed","","","","","Worked full-time, year-round in the past 12 months","Worked part-time or part-year in the past 12 months","Did not work","","","","","","","","","","","","","","","","","","","","","","","","",""
"Label (Grouping)","Population for whom poverty status is determined","Population for whom poverty status is determined!!AGE","Population for whom poverty status is determined!!AGE!!Under 18 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years","Population for whom poverty status is determined!!AGE!!18 to 64 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years","Population for whom poverty status is determined!!AGE!!60 years and over","Population for whom poverty status is determined!!AGE!!65 years and over","Population for whom poverty status is determined!!SEX","Population for whom poverty status is determined!!SEX!!Male","Population for whom poverty status is determined!!SEX!!Female","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Population for whom poverty status is determined!!EMPLOYMENT STATUS","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female","Population for whom poverty status is determined!!WORK EXPERIENCE","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!15 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!16 to 17 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!18 to 24 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!25 to 34 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!35 to 44 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!45 to 54 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!55 to 64 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!65 to 74 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!75 years and over","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Mean income deficit for unrelated individuals (dollars)","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked less than full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Did not work"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,771,614","","1,076,150","288,348","787,802","1,072,234","2,887,795","1,039,575","1,848,220","1,126,014","807,669","","2,296,425","2,475,189","","3,234,748","1,255,231","24,134","66,443","1,976","73,776","115,306","207,640","3,127,338","","3,284,134","418,279","990,483","1,001,943","873,429","","2,232,652","2,109,547","1,099,422","1,010,125","123,105","62,894","60,211","","3,821,009","1,580,554","739,365","1,501,090","","337,706","1,003,042","1,234,349","1,565,886","1,697,526","2,515,808","3,195,965","3,688,097","866,934","411,190","455,744","813","2,891","99,018","147,620","92,563","116,834","157,099","128,426","121,670","7,101","333,715","157,170","376,049"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","762,642","","244,726","73,369","171,357","241,084","435,202","202,807","232,395","123,878","82,714","","325,560","437,082","","379,259","321,207","4,491","8,852","308","24,113","24,412","60,717","350,809","","417,012","119,287","151,208","108,992","37,525","","190,895","148,134","60,241","87,893","42,761","18,483","24,278","","542,138","50,669","144,622","346,847","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","257,692","109,099","148,593","812","2,741","56,110","36,041","22,849","35,110","51,176","27,941","24,912","(X)","13,775","71,353","172,564"
